Í¼Æ¬Ãû³Æ,ÌØÕ÷,Î»ÖÃ,ÀàÐÍ,³µÅÆÎ»ÖÃ,³µÅÆ,³µÐÍ,ÑÕÉ«,Æ·ÅÆ ,³µ±êÎ»ÖÃ
Í¼Æ¬1,1000_-1.191111684_0.207641304_0.010657493_-2.531507730_-0.504436493_-2.362497330_-3.770459175_-3.652585030_-3.025920868_-3.852271557_-4.399796486_-3.307728052_-2.338621378_-3.754593849_-4.039763927_-3.176224470_-3.560321569_-1.237403154_-2.100251913_-2.792059422_-5.442392826_-4.869962215_-3.957921267_-2.582507372_-4.734573841_-3.295556784_-5.105195522_-3.014723539_-2.756802559_-1.090349913_-3.379589081_-2.557438135_-2.711991072_-1.514181733_-1.253517270_-3.357028246_-2.633133173_-2.265728712_-3.458563089_-3.258366108_-2.119988203_-3.832567692_-3.838171959_-4.566503048_-5.241991997_-1.681459188_-1.861894965_-2.541315317_-3.030620575_-3.927369118_-4.387569904_-2.722104073_-3.011931181_-2.677053928_-4.407213211_-1.227832317_-3.107068539_-3.013924599_-2.539287806_-0.832413316_-2.201954365_-2.430225134_-2.535500288_-4.351469517_-1.875757575_0.210142791_-3.882351875_-2.689256430_-4.154092789_-2.658546925_-4.734365463_-2.757897854_-4.059544086_-3.646753073_-4.210385323_-2.100420713_-3.114975452_-3.090592623_-5.168933868_-2.545741081_-1.680380106_-3.562457085_-3.812242031_-4.090377808_-4.555627346_-4.036191463_-2.097207546_-3.111382008_-3.555299997_-3.046249866_-3.424887657_-4.350662231_-5.670536041_-4.757653236_-1.753257275_-4.711866379_-2.602395058_-1.873937964_-3.400941372_-1.873040438_-3.330418825_-2.227417707_-1.246224761_-2.195964575_-1.860223293_-1.692104459_-1.387251377_-1.984023333_-2.241801023_-3.583929062_-2.952883959_-1.269033194_-1.002035022_-2.713688850_-2.747084618_-2.623722553_-2.394912243_-4.120473385_-0.465876669_-2.692706823_-1.944266796_-2.223937035_-3.222006559_-1.850968242_-2.817936420_-4.370307922_-1.345309377_-2.567024946_-2.916909695_-3.694162369_-3.683354616_-3.898229361_-3.747273922_-3.101779461_-0.958635449_-3.746203899_-2.729611874_-3.717529297_-3.247073889_-4.581980705_-4.336479187_-5.086556435_-5.011789799_-2.506778002_-1.713481903_-2.929965019_-1.592841744_-1.172101140_0.059622616_0.462485909_-0.247475311_1.558807850_-1.546301126_-1.043444157_0.686657190_-1.432118416_-0.039655425_-2.212078094_-1.959464192_-1.398005605_-1.300999403_1.792574644_1.451096773_0.471607387_0.296644330_0.983893871_0.522841334_0.282882184_-0.830181718_-0.888484776_-0.833739817_-0.845881701_0.421976060_-0.252916515_-1.115640640_0.320199847_-0.542494893_-2.168621063_-0.516940713_-0.498225451_1.713157773_-1.562760234_-0.356110334_-0.799662888_-0.947229207_0.171733469_0.538141608_-1.254505515_-0.007212430_0.573132634_-0.199119270_-0.800339699_3.298762083_-0.926256597_0.038492154_0.422651410_-1.477343678_0.877986729_-0.975501716_0.966473460_-1.812162042_-1.670555353_0.445904642_1.414667487_-0.124917939_1.262276173_-0.817826986_0.166296586_0.575375080_-0.449659467_-1.701095343_-0.987071693_-0.325719237_-1.435789227_-0.621964753_0.471839070_1.956302047_0.644027114_-0.307505310_-0.339023530_-0.172447935_-1.438576818_-1.016129017_2.009419918_1.532854319_0.186599508_-0.815425098_1.923809648_-1.849815488_-0.999154866_-0.647036314_0.754511118_1.215434313_-1.217955947_0.006295830_1.229315877_-1.229753256_-0.686994016_1.893820882_-0.200557172_1.033923984_-0.645887494_-0.476309448_0.677919507_-0.112455912_0.797593176_-1.453079224_-0.603982806_-0.050783589_-0.885943115_0.903741777_1.375786304_-1.234831214_-1.632101059_3.258861542_-0.367185295_2.251184940_1.970337987_1.708675504_0.113659203_0.101131462_-0.225548342_-1.264282107_-0.432159126_0.876252174_0.686680973_-1.568808198_-1.514719725_-3.450017691_-0.394035548_-0.118649296_-2.672657490_-0.263561606_1.828040242_-1.989230871_-2.917352676_-3.497583866_-2.177276134_-1.953689575_-2.004937649_-2.064631462_-1.518644810_-2.272513866_-1.319591165_-0.602771938_-2.143947363_-2.847176790_-0.804985821_-3.572848082_-3.081260920_-2.275185347_-0.876577616_-2.547039747_-3.192499876_-1.864205599_-0.419335008_-1.641144633_-3.111073494_-4.055942535_-2.733211994_-3.334659338_-3.096887827_-3.235981941_-4.018533707_-3.793804884_-3.067860126_-1.937677622_-5.158626556_-5.493355274_-3.969146967_-3.626784801_-2.560653210_-4.286087513_-1.596717358_-1.189299703_-2.483682156_-5.155362606_-2.664963722_-4.221469879_-5.015585423_-3.324363947_-1.761188984_-3.766846418_-3.100056171_-3.452184200_-4.628468513_-4.314972878_-2.289855003_-2.766437531_-0.958820462_-1.904581666_-2.776843071_-1.607092381_-0.788387716_-3.094625711_-4.659636497_-2.518785238_-1.243057609_-0.195997223_-0.755847871_0.127375096_-0.072090119_-3.664483070_-2.819976330_-4.597168922_-2.660526514_-2.986702919_1.486111999_-1.822631836_-1.354986548_-3.108402729_-4.093551159_-4.154928207_-2.961267948_-2.595506907_-0.777332127_-1.047251463_-4.069545269_0.550761223_0.847072542_-2.728107452_0.932728410_0.291478634_-1.846773267_-1.448067904_-0.680149734_-0.063110933_-1.794867277_-0.994614124_-0.946173191_-2.786907911_-2.494134188_-0.401988417_-2.167958975_-3.123989820_-1.718202114_-1.788795471_-3.258428574_-0.891412437_-0.356094122_-2.358926058_-1.413696766_-2.538748741_-2.611831427_-4.041772366_-2.487941742_-2.811181545_-2.171709061_0.139786363_-1.925802946_-1.939610004_0.700477719_-0.582179666_-3.669841766_1.349396825_-0.878787816_-3.446045637_-1.996243119_-1.420038462_0.474634171_1.062013149_2.251188278_-0.376985431_-2.258466244_2.344487667_0.649004996_-3.170415640_15.353409767_6.110941410_4.361716270_1.099386215_4.306573391_7.065746307_-1.282506466_6.126406670_1.098527551_-2.798115253_-1.319456935_2.373955727_0.507052898_0.537832737_2.272582293_1.585747838_3.292830944_3.561820984_-1.612176299_1.887099981_1.483746171_3.005882025_1.218828678_-0.383790046_2.858163595_-0.018102527_0.885259449_-0.762112975_1.469847798_14.874240875_-2.619885921_2.994764090_-0.687574506_2.943336010_-1.611993790_-1.707830548_0.906888843_0.163456216_0.788244545_2.552283525_1.994449258_-1.356215000_1.903723955_2.773028851_-1.187532544_-1.691493034_-1.256895304_0.020329036_2.771150589_-0.136294529_0.062804699_-1.150605321_1.446727753_-2.990515947_1.211449027_0.180613160_1.465349793_3.090872526_2.069988012_6.614207268_-0.502985418_12.521896362_1.974214196_-2.481892347_-1.149772644_5.526827335_0.821411490_-0.068984024_6.729924202_1.687690020_5.752864361_2.266071320_10.431021690_5.363450527_4.088204861_6.529935360_-4.997535229_2.082105160_7.902687550_-2.049890757_7.239342213_0.212489888_-0.706859231_-1.257157683_-1.179461479_0.893991172_-1.235930443_-0.327978671_-1.506187320_-3.622457981_-0.187396407_-0.301527530_2.588758707_-4.025743484_-0.623966038_-1.855164051_-1.577707767_1.454619884_3.091791630_0.032425173_1.047647834_3.081903458_-3.039693832_-1.458696008_12.189867973_0.215360910_-0.878569424_-0.433427095_1.400793910_2.257485151_3.152264833_6.337367535_2.006225824_0.807714701_4.217109203_-2.147438526_3.871938705_0.591507494_-1.675486445_2.818729877_8.654146194_1.687723875_-0.356628150_5.162792206_9.130501747_-2.467771530_-1.743444443_2.928851128_1.452528238_2.354733944_-0.397645622_0.915474117_0.900171041_-2.863860369_3.426209688_2.103471994_1.179188609_2.454766750_4.302235126_0.614808440_4.215380669_1.888050318_0.111361533_4.239997864_1.670841575_-0.442485482_4.100450516_-1.073673248_6.692978859_-2.945354939_-0.118386209_-0.408550650_3.371985674_2.540465117_6.854869843_-4.513699532_0.723149180_-0.048971273_0.760667980_-4.322242737_-0.437697917_-0.803648770_10.376248360_1.794129848_4.295330048_-0.668097317_4.749912262_0.405554920_14.403080940_2.264478445_-2.481952190_-1.239969134_3.820544720_0.381317586_13.425543785_1.293157101_-0.624406278_-1.553053975_0.244113192_3.925303936_2.042420149_-0.610714436_0.928881288_7.270196438_0.497908443_6.530108452_2.485414743_-2.536679506_3.883194923_-0.654281139_1.065353751_2.649846792_-1.923187017_0.829040647_-0.112827130_-0.760678530_-0.651427448_-0.535910308_7.836853981_4.162625790_-2.902454853_1.109825373_13.131689072_1.038463116_-0.604743958_1.859185457_3.583024502_0.566490114_1.335947990_-2.017356634_3.073406696_1.782269478_-0.791709960_6.343668938_6.499613762_4.038388252_2.255935907_-0.553747296_3.360888958_2.459574461_10.174151421_-0.607665598_-1.533219695_1.682425261_1.337730765_6.513917923_3.112261295_-1.656420946_3.781380177_4.626100063_2.941145897_0.502379894_-0.304151237_-1.283505201_-1.063458920_-3.719036579_-1.555877686_0.507607043_-1.302944541_-0.318767399_0.994944632_-2.287285805_-3.397598982_2.224401474_3.820385933_3.279898405_0.744676471_18.218736649_3.936364889_18.779264450_0.293161213_-4.035579681_-0.653235435_7.056862354_6.705659389_6.190557003_-3.430346251_8.317468643_3.807483912_-2.049855232_2.501718998_-2.433234692_0.041252658_6.920948029_-0.184494168_4.911474228_5.032205582_0.267816544_15.129668236_1.922575831_-3.289718151_4.320506573_-0.187172234_-1.204790592_7.514842033_-2.932164192_0.671199143_-1.692739844_5.705897808_3.246359825_-1.191572070_3.088240147_-1.758477807_-1.780382037_2.058396101_1.341737032_2.380778790_-1.536622524_0.903680384_0.672102928_-0.847586989_-3.609720469_-2.095559597_1.611917853_-0.086099222_-2.217951536_0.219107777_7.217734337_10.766857147_-0.982922494_2.649469137_-2.562706470_3.725243807_2.148559332_-0.100316629_0.362887084_4.905055046_-1.440873981_-3.903404474_-0.781478524_11.352913857_-1.124880314_0.134808108_-0.573704600_-0.346321225_0.273893505_-3.545531511_0.061605319_-0.094790623_-2.157937288_1.606415153_1.860208273_-0.738031983_-0.610381067_-0.137895688_7.321752548_0.076834336_16.662017822_-1.363701701_1.591468215_3.272382975_-2.083382845_-0.907260776_2.861948729_-2.523496628_8.554908752_-1.152290821_0.926775992_6.004904270_2.343783379_1.709540129_2.779120445_0.303801775_-1.169260621_9.287793159_1.133379221_1.987182260_6.540004730_-0.800285161_4.507505417_12.712175369_2.659891129_4.936095715_2.756212950_3.900851011_-1.254931092_0.574125409_-2.541447163_-0.480745971_4.461277962_1.414604664_5.043240070_2.020524740_0.973607540_3.619313717_-0.427096426_-0.650755823_-0.070979916_0.357598126_-1.601905942_-1.942968607_7.564620018_7.700145721_0.868922472_2.284715891_8.619424820_2.170181751_2.300765991_7.780849934_0.219903827_-1.073995829_1.982712507_-2.421768188_3.754701376_4.340007782_0.146479249_0.278255165_-1.723516941_0.852811337_0.583061934_3.722302675_-1.278693914_5.949893951_2.965487719_3.211663246_5.176460266_3.482239008_0.366556704_5.136951923_-0.329760820_3.901262045_-0.955130696_0.134338588_3.629095316_2.330310583_1.549726605_3.113733292_4.807420731_-3.274446487_-4.298417091_12.124129295_4.180362225_1.611756921_0.820860863_0.998925030_3.063939333_2.246345758_0.678692520_-4.591216087_5.591922760_4.486701965_1.863888264_6.143225193_6.746791363_-0.994179249_-3.290830374_-2.510230780_1.369077802_-1.286221504_2.854908466_3.815426350_2.467522383_-0.490998060_0.863364875_0.401520401_1.903730154_1.884046912_1.349997163_1.834229112_-0.597275436_1.585437775_6.569392681_-0.593089998_-0.206910744_5.362019539_0.623570025_-2.103947878_-1.813995242_-2.590760231_0.826099515_-5.626638412_-1.857601047_7.149587154_-1.640225410_0.614527583_-1.119524240_0.311066717_8.953395844_0.610085130_0.745926440_6.083566666_1.933660984_-0.433498561_0.494376391_1.731230140_4.410074711_-2.965177536_6.346886635_0.071756870_2.734245062_0.474496543_2.586506128_0.647084117_0.270017862_-0.066903532_7.933661461_0.479531586_-2.512623787_-1.572793722_2.633342028_-2.753677607_0.104831152_-1.196504474_-0.854737520_5.924159050_1.146378279_2.336447477_1.379227281_1.282068372_-0.609447479_4.839087486_3.452771664_4.030340195_-2.838399649_-1.825299382_1.729036093_-0.779501855_0.851522624_-0.876837790_-0.228580594_2.028061628_3.679608583_1.617743850_-1.898199439_-1.866540432_-2.602603674_-1.298056722_0.095406920_1.531896114_3.747107029_-0.971449256_-0.935706019_2.974220276_2.149662733_-0.591684878_-0.391180843_-1.049527407_0.610266387_-2.212862253_1.753280997_-2.251021385_0.083288506_-0.530959010_-2.522566557_-0.536409259_-1.347962260_-2.663860559_-1.398626447_-1.275600791_-0.040666703_0.044366606_1.013372660_-0.225854471_-2.715971947_-3.059273958_-2.337076902_-1.968199253_-2.123782396_-3.006388664_-4.227281094_-4.907392025_-0.584018230_-1.383806109_-2.658533096_-3.146877766_-3.914002419_-2.023476601_-0.591896415_-1.278564453_-1.045155287_-5.890480995_-1.149837971_-2.121627331_-1.544712663_-1.653470993_-1.018840790_-1.572376966_-3.058403015_-0.412480652_0.993156254_0.890451133_0.651664495_-1.857984304_-1.139277935_0.838473439_-1.777434111_-0.808874846_-4.172110558_-0.402943105_-2.298178911_0.974157810_-0.303847134_-2.324688196_-3.513736486_-1.113651991_1.834924102_1.507118344_-0.834934473_-3.255228996_-4.766775608_-0.489147455_-4.887360096_-5.483455181_-3.237404108_-3.744959593_-3.380720139_-5.076379776_-3.902240276_-4.633780003_-2.750747442_-4.040509701_-0.674127340_0.635498285,1044-87-575-528,car,1290-531-157-70,ÄþA37S81,bus,°×,Atenza,1342-430-56-50
Í¼Æ¬3,1000_-0.477916449_-1.470212698_-0.180214673_-1.883111238_-2.062246561_-2.981421232_-3.696860790_-1.167731762_-1.247119188_-3.580949306_-3.945728302_-2.943017483_-2.597211838_-3.472335339_-3.649632454_-2.745339394_-3.502299547_-0.945372164_-1.908470988_-2.790927410_-5.218588352_-3.548559666_-3.913634539_-1.360261798_-4.140545368_-0.479233325_-2.083432198_-2.234374285_-1.200569630_-2.022773266_-1.743542314_-1.750017047_-1.260362625_-2.162786007_-0.977077305_-2.069501162_-1.163724303_-1.771437883_-3.324521065_-1.961035967_-1.541507602_-0.956529617_-1.421452284_-3.235737324_-2.725692272_-0.462311924_-0.732484937_-0.629240215_-2.244372129_-2.682859898_-2.440565348_-2.269469976_-2.034822702_-0.973668456_-1.402819395_-0.609757483_-0.357170969_0.411098003_-0.209717244_0.009592861_0.055263385_1.448051214_0.416175127_-2.531755686_-0.992256880_1.758108854_-1.693502307_-1.351280212_-2.647476912_-3.191935539_-4.317411423_-2.558632851_-1.872721314_-1.834170580_-2.658082962_-1.427415133_-1.853510737_-1.708681226_-3.909132242_-1.533280015_-1.265740156_-3.820374966_-1.929907441_-2.717933178_-3.270417929_-2.832362652_-0.931584597_-2.732499123_-2.450128078_-3.525411367_-2.656594753_-2.481481552_-4.673309326_-3.513996124_-1.658032060_-3.215618610_-2.294018745_-1.673544288_-3.506751299_-3.087469578_-2.326785326_-0.116639711_-1.312969923_-1.715202093_-3.036936760_-3.140227318_-0.997822464_-1.296380520_-2.462124825_-4.189076900_-0.530340195_-0.344478935_-1.628172159_-2.706351757_-1.583921552_-1.700588703_-0.756726980_-4.727450848_0.513597369_-0.949617326_-1.042000532_-0.720731974_-1.264567852_-0.888557017_-1.781587958_-3.519379854_-1.637135506_-3.341825962_-3.190349340_-3.882561207_-4.321019173_-3.064068317_-4.461291313_-1.589592934_-2.803432465_-3.282228947_-2.553698301_-3.009987593_-3.040910959_-4.454061508_-4.067447662_-4.581045628_-4.836491585_-3.347045660_-1.851580024_-1.930658698_-2.627687454_-0.247974038_-0.044567779_-0.314871728_1.919307828_1.361757636_-1.565846801_-1.730554700_0.316705942_-1.040493727_-0.852845192_-2.235452175_-2.375124693_-1.066846371_-0.014710501_1.676407576_0.209663823_2.455277681_0.460884809_2.348074913_-1.086621761_-1.235140324_-0.517376244_-0.468072116_-0.578665972_-1.498381853_0.074648567_-0.941078007_-1.532075286_0.527596116_1.699419975_-0.678240895_-0.589005351_-0.733971655_0.505290151_-2.626289368_-0.360355079_-1.492241144_-0.449554682_0.054347456_-0.097182281_-0.065272897_-1.062262535_0.292229891_-0.499247730_-0.927661777_1.946656108_-0.527016044_-0.408129334_-0.428591788_-1.093403220_2.420349836_0.452049851_0.686325073_-0.905165017_-0.569031715_-0.362260580_-0.361551046_-0.049589366_1.741149426_-0.298357129_-0.410225809_2.070065022_0.128553867_-0.391775340_-0.258811384_-0.434058011_0.739312232_0.975892544_-1.072257757_1.642345428_0.446709394_-0.293483019_0.753069699_2.006317854_-0.390331566_-1.697026491_1.451396227_1.356392384_-0.336132765_1.007499337_1.382718086_-1.430521607_-2.252694845_-1.797840118_-0.566063523_0.268228322_0.114976853_1.420288920_0.333470017_0.314960837_0.250105441_1.947582483_-0.053630516_0.509016335_-1.211639643_-1.191486597_1.003640532_1.220703483_0.205754012_0.073997781_-1.876096368_-1.636964917_-1.447237492_-0.496816784_1.497426987_-0.860193968_-1.189385414_2.477913380_-0.751067221_3.098786116_-0.140878558_-0.618159056_-0.711136758_-0.299648136_-0.200880542_-0.260752857_-1.497728229_0.163685247_-0.166348591_-0.569516897_-0.870374680_-2.122970104_-1.570901632_-1.302342057_-3.117462397_-2.008454561_1.016722798_-1.887307525_-1.231137156_-3.645633459_-2.973195553_-2.842234135_-3.316804409_-2.578904390_-1.641458154_-2.972480297_-1.368107796_-1.352604985_-2.106703043_-2.429095268_-1.690658808_-2.595951080_-3.232914925_-0.905738711_0.472443461_-1.964332223_-3.559605360_-0.799219549_1.277688622_-1.881932735_-0.697044909_-3.259613276_-2.201689005_-2.556617260_-2.137955189_-0.874161363_-2.616704226_-2.247763634_-1.962965727_-1.539019346_-3.989383459_-4.435839176_-3.294974566_-3.368921995_-0.862091660_-2.144149780_-0.366161138_-0.558821201_-1.529293537_-2.601006985_-1.868717194_-2.135559797_-3.109069824_-0.746411383_-0.166564673_-1.831866980_-1.261294365_-3.398145914_-3.551931381_-4.317684174_-2.668319225_-2.867545128_-1.140763521_-2.272798538_-2.705221891_-1.370897532_-1.206375122_-3.127612591_-2.658415794_-2.558429480_-0.753868818_-0.313579857_0.185370460_0.053932875_1.354758620_-0.968571842_-0.999921381_-1.737804174_1.047981262_0.541753054_1.049975038_-1.164690018_-0.740316510_-0.798564136_-2.722161770_-3.112570047_-2.233701229_-1.249334455_0.098150991_0.451787621_-1.731395960_0.342103690_0.243899152_-0.725275517_-0.150554642_-0.034134693_-1.393611789_-0.601123095_0.118799910_0.585476935_0.495097220_-0.649585664_-0.047367468_-1.779073954_-0.638480186_0.071656674_-0.702868402_-0.303730071_-0.836686790_-1.766581059_-1.649759650_-0.519141853_0.952765405_-2.034564495_-0.259242654_-2.184337854_-2.835142612_-2.683404446_0.527369022_-1.578471780_-1.906667113_-1.159025550_-0.856385946_0.624905884_0.672403455_-1.218591094_-3.188285589_1.752277613_-0.071781054_-2.817490101_-2.839139223_-2.207098961_3.511657715_0.642116725_2.885615110_1.839675069_-0.520886540_1.556638718_0.502958834_-1.519629955_8.398281097_4.797692776_2.621733189_-0.435335308_1.347310424_5.539166451_-0.343621492_5.290128231_1.160678029_-2.917125463_-1.326337576_0.606343746_-1.065815210_2.576420784_2.241298199_1.610583186_3.383369923_2.741569996_-1.272415638_0.291477859_2.500032187_2.283091307_1.301700830_-0.747272849_3.166784286_1.903180599_0.309559703_-2.095208645_-0.189767569_11.086788177_-2.798344612_0.255527198_0.660531223_2.866799116_0.053224452_-1.288082838_-0.233348712_0.978873014_0.839141548_0.504590213_0.659285545_-2.154943466_0.821033180_2.793788671_-0.619561791_-1.625645161_-0.622907877_-0.040779948_3.097822428_0.727816999_-1.251884818_-1.170798421_0.608468831_-2.013246298_2.108464003_-0.786275566_2.399636745_3.413959742_3.271564484_2.747058868_-0.681836903_11.090062141_2.834417343_-1.377211332_0.880485654_3.771135569_0.551569998_-1.749688268_5.712295532_2.212391376_3.618913174_1.181366324_9.176967621_1.371029496_1.391338706_3.670238256_-3.421313286_0.244609609_5.073137760_-0.027415935_3.992703915_2.897511482_-0.867633581_0.421304107_0.970111728_1.839616179_-0.656264305_-1.112259865_-1.250338674_-3.208246231_-1.465546489_-0.016470224_-1.135366559_-3.201829433_2.558178425_-0.725486994_-0.959528089_1.675606251_1.531895757_0.784257650_2.065690756_0.495860040_-1.974980354_-1.157426119_10.838220596_-0.204049647_3.165629625_1.661560297_2.227400303_2.699711084_3.314528227_7.029591084_2.576333761_0.625029445_2.822006226_-2.635023832_3.008810997_1.844304204_-2.005653143_0.277780443_2.954272747_1.433790803_-0.872948885_3.383510590_5.012489796_-0.914384663_-1.470541716_2.169870853_2.168877602_2.249001741_1.655428052_0.153392643_0.629732907_-1.009732008_3.431080341_2.798220396_1.145377517_2.533647537_3.167922258_1.685284257_2.770325661_0.466648400_-2.095363379_1.787636757_-0.693950891_0.525251329_3.009254217_0.193584114_6.688063145_-2.414119482_-0.759663761_1.521238923_1.942756772_3.841190100_5.654431820_-2.542257071_0.887907982_-0.779813707_0.555982590_-0.145244405_1.007671356_0.659254730_7.574325562_2.164156199_3.663846493_-0.623418450_4.613864899_-1.774609923_8.016882896_2.853387356_-0.300073385_-1.262017131_4.394721508_-1.655601740_11.485188484_1.069612503_-1.346914768_-0.371142536_0.815134048_4.343166351_0.627079904_-0.562652230_0.514862478_1.932590723_-0.736023545_2.995570898_2.705365181_-0.679536939_4.567852020_-1.506929636_2.531890392_0.627225220_-2.022877455_1.210135698_-0.637865305_-1.574967623_2.445186853_-0.746552289_2.128966808_1.779407501_-1.143074036_1.965678096_10.031038284_1.906313062_-1.466585040_3.175261259_1.816108704_0.225991234_1.237882137_0.995730937_-0.384170473_2.010683775_-2.052738667_1.735208154_6.241785526_3.213189602_0.076006539_-0.087755539_3.504526615_2.127133131_8.815667152_-0.241749704_-0.497453302_1.855298996_-0.482284307_5.390890598_1.514883161_0.310698867_4.145080090_5.344415665_2.709583998_1.334027648_-1.177631140_-2.413469076_-1.380241513_-2.415006876_0.090425164_-1.199939132_-0.887993932_-1.350541353_0.380797774_-2.233929157_-2.927278042_0.381392211_0.829897344_3.124225616_2.201166391_9.670947075_3.492737770_12.559658051_1.114339232_-2.465091705_0.595043719_2.717808723_9.239771843_2.256452560_-1.867560744_3.578810692_3.961703777_-0.006865986_1.056027651_-2.040382862_-0.903465629_5.653615952_1.168602109_0.908422947_1.486508369_0.159437343_6.756743431_3.157495499_-1.812810659_5.100321293_0.506694913_-1.915762663_2.513586283_-3.511184216_3.152416706_-1.963171601_1.987717748_3.846903801_-0.487183273_1.601835012_-0.638102114_1.183352709_3.239306211_0.148230076_1.135502934_-1.704351425_1.806188583_-0.043690458_-1.816468835_-2.132370234_-0.334246397_0.108662575_-0.368210405_-2.583735228_1.677728534_5.235583782_6.224154949_-2.770553589_1.802531958_-1.686122417_2.803380728_-0.111113429_1.284978032_-0.414576888_0.553084373_-1.994742393_0.570602417_-1.026972413_8.996060371_-0.298337311_-0.162395507_-1.367150545_0.616294563_-0.826293051_-4.024091244_1.630720019_-0.403037071_-1.322693586_0.275860250_2.234692335_-0.251787812_0.909335434_-0.283457100_3.344498873_0.425976127_10.071055412_1.034484982_0.934816778_3.058275938_-1.838664412_-1.468750596_0.475472718_-1.235071778_3.794975519_-0.498146653_2.701083422_1.307622313_2.430964708_3.055062771_3.417675734_-1.176106334_-0.309473753_8.076027870_1.614040375_3.772513390_3.948890686_-1.701318264_2.423342943_6.561387062_3.021819592_4.527658939_1.365754604_0.098925933_0.283099473_0.647744894_-0.152005851_0.072673671_2.742945910_-0.906092763_1.877192497_-0.012680441_0.360731184_1.388512015_0.609379888_-1.981109023_0.439241409_0.707779348_1.681386352_-0.740172565_0.542590320_6.323525429_0.686561704_1.882775068_2.770977497_0.960013270_0.976827860_5.715153217_2.119185209_-0.495615482_1.908315659_-3.398303032_4.541045189_4.323159218_0.322151214_-0.809756994_-2.351794958_1.259405255_2.348389626_3.082776785_-2.323015690_2.685269356_3.015093327_2.204213142_5.177978039_3.854770184_-2.274422646_1.670522690_-2.239436150_-0.043162450_0.425166637_-0.036766820_2.586096764_0.873132706_0.361828893_2.092795849_2.569547415_-2.480836391_-3.156140566_10.246376991_3.408292532_2.678699970_4.164039135_0.203825057_2.990172386_0.924602747_1.957104683_-3.430587053_2.875286579_2.326578856_1.179819942_4.362862587_4.925326824_-0.839833021_-2.496927738_0.269601703_1.150271535_-1.717433453_2.351534128_3.467897892_1.017039299_-0.032310188_0.060631335_1.799781680_-0.640544176_1.306402683_0.483484983_2.242333412_-2.399871826_2.568861961_3.814964056_0.101212911_-0.707684875_3.196541309_0.964164257_-1.719045877_-1.462617040_-2.892400265_2.066882610_-2.052559614_-1.272248268_5.253842831_0.481193274_-0.410401046_-1.048543572_1.685237765_7.212768555_0.894610405_3.158274889_5.538060188_1.441106439_0.338126749_0.491337419_-0.056033999_2.549396038_-2.201328993_4.871841908_3.286489725_1.377644181_-0.254569769_2.002774954_-0.346560568_0.923479736_1.537501812_5.578203201_0.450953066_-0.884185910_1.201711416_1.190611124_-1.091136217_-0.250543714_0.542457640_-2.181977510_2.939122677_-0.442988425_1.407102942_0.885358989_1.205333710_-0.761227608_2.857068777_2.969424248_1.713084340_-1.771609426_-0.820969343_0.967997551_-0.615840256_-1.600989342_-2.239799976_-1.549721718_2.329837561_1.561333179_2.171469927_-0.922237873_-1.028598309_-0.765446663_-0.099591464_0.020723999_-0.158162296_1.142886043_0.254595459_-2.642728806_2.879448652_3.262277842_-0.365799129_-0.952267289_-1.840493798_-0.144142061_-2.704465151_2.154414415_-2.522654533_-0.593130171_-0.768078327_-1.693272114_-1.234682560_0.188168272_-2.987540245_-1.825301409_-1.718269229_-0.035653140_-1.108671665_0.159466743_0.371387452_-1.169855237_-0.117401272_-1.063064337_0.046472803_-1.313221335_-1.608263016_-3.301341295_-4.923902512_-1.399610281_-2.115849018_-1.657342672_-1.309819937_-3.622950554_-1.880402327_-0.642563879_-0.620633304_-2.492252827_-5.494820118_-0.803555369_-1.852238774_-1.051365972_-1.383566260_-0.404849350_-2.515061617_-1.951698899_0.648603797_-0.176868662_-0.831770599_-0.022929803_-1.875793457_-1.822053909_0.454872906_-1.310898662_-1.714321494_-3.738532305_-0.443922132_-3.030908346_-0.461422294_-1.357722521_-2.204382181_-2.608872890_-0.263478339_-0.133480489_2.131031752_-1.562996626_-3.954205990_-4.375956059_1.673597455_-3.743216276_-4.661504269_-2.667712212_-2.662003040_-3.710222960_-4.021255016_-2.966244221_-3.703112602_-2.406776428_-3.496949911_0.885271966_-1.064056277,1054-76-542-419,car,1305-404-156-68,ÄþAH5996,bus,ºÚ,Honda_CR-V,1350-345-66-59
